income,balance,limit,rating,cards,age,education,gender,student,married,ethnicity
14.891,333,3606,283,2,34,11, Male,No,Yes,Caucasian
106.025,903,6645,483,3,82,15,Female,Yes,Yes,Asian
104.593,580,7075,514,4,71,11, Male,No,No,Asian
148.924,964,9504,681,3,36,11,Female,No,No,Asian
55.882,331,4897,357,2,68,16, Male,No,Yes,Caucasian
80.18,1151,8047,569,4,77,10, Male,No,No,Caucasian
20.996,203,3388,259,2,37,12,Female,No,No,African American
71.408,872,7114,512,2,87,9, Male,No,No,Asian
15.125,279,3300,266,5,66,13,Female,No,No,Caucasian
71.061,1350,6819,491,3,41,19,Female,Yes,Yes,African American
63.095,1407,8117,589,4,30,14, Male,No,Yes,Caucasian
15.045,0,1311,138,3,64,16, Male,No,No,Caucasian
80.616,204,5308,394,1,57,7,Female,No,Yes,Asian
43.682,1081,6922,511,1,49,9, Male,No,Yes,Caucasian
19.144,148,3291,269,2,75,13,Female,No,No,African American
20.089,0,2525,200,3,57,15,Female,No,Yes,African American
53.598,0,3714,286,3,73,17,Female,No,Yes,African American
36.496,368,4378,339,3,69,15,Female,No,Yes,Asian
49.57,891,6384,448,1,28,9,Female,No,Yes,Asian
42.079,1048,6626,479,2,44,9, Male,No,No,Asian
17.7,89,2860,235,4,63,16,Female,No,No,Asian
37.348,968,6378,458,1,72,17,Female,No,No,Caucasian
20.103,0,2631,213,3,61,10, Male,No,Yes,African American
64.027,411,5179,398,5,48,8, Male,No,Yes,African American
10.742,0,1757,156,3,57,15,Female,No,No,Caucasian
14.09,671,4323,326,5,25,16,Female,No,Yes,African American
42.471,654,3625,289,6,44,12,Female,Yes,No,Caucasian
32.793,467,4534,333,2,44,16, Male,No,No,African American
186.634,1809,13414,949,2,41,14,Female,No,Yes,African American
26.813,915,5611,411,4,55,16,Female,No,No,Caucasian
34.142,863,5666,413,4,47,5,Female,No,Yes,Caucasian
28.941,0,2733,210,5,43,16, Male,No,Yes,Asian
134.181,526,7838,563,2,48,13,Female,No,No,Caucasian
31.367,0,1829,162,4,30,10, Male,No,Yes,Caucasian
20.15,0,2646,199,2,25,14,Female,No,Yes,Asian
23.35,419,2558,220,3,49,12,Female,Yes,No,Caucasian
62.413,762,6457,455,2,71,11,Female,No,Yes,Caucasian
30.007,1093,6481,462,2,69,9,Female,No,Yes,Caucasian
11.795,531,3899,300,4,25,10,Female,No,No,Caucasian
13.647,344,3461,264,4,47,14, Male,No,Yes,Caucasian
34.95,50,3327,253,3,54,14,Female,No,No,African American
113.659,1155,7659,538,2,66,15, Male,Yes,Yes,African American
44.158,385,4763,351,2,66,13,Female,No,Yes,Asian
36.929,976,6257,445,1,24,14,Female,No,Yes,Asian
31.861,1120,6375,469,3,25,16,Female,No,Yes,Caucasian
77.38,997,7569,564,3,50,12,Female,No,Yes,Caucasian
19.531,1241,5043,376,2,64,16,Female,Yes,Yes,Asian
44.646,797,4431,320,2,49,15, Male,Yes,Yes,Caucasian
44.522,0,2252,205,6,72,15, Male,No,Yes,Asian
43.479,902,4569,354,4,49,13, Male,Yes,Yes,African American
36.362,654,5183,376,3,49,15, Male,No,Yes,African American
39.705,211,3969,301,2,27,20, Male,No,Yes,African American
44.205,607,5441,394,1,32,12, Male,No,Yes,Caucasian
16.304,957,5466,413,4,66,10, Male,No,Yes,Asian
15.333,0,1499,138,2,47,9,Female,No,Yes,Asian
32.916,0,1786,154,2,60,8,Female,No,Yes,Asian
57.1,379,4742,372,7,79,18,Female,No,Yes,Asian
76.273,133,4779,367,4,65,14,Female,No,Yes,Caucasian
10.354,333,3480,281,2,70,17, Male,No,Yes,Caucasian
51.872,531,5294,390,4,81,17,Female,No,No,Caucasian
35.51,631,5198,364,2,35,20,Female,No,No,Asian
21.238,108,3089,254,3,59,10,Female,No,No,Caucasian
30.682,0,1671,160,2,77,7,Female,No,No,Caucasian
14.132,133,2998,251,4,75,17, Male,No,No,Caucasian
32.164,0,2937,223,2,79,15,Female,No,Yes,African American
12,602,4160,320,4,28,14,Female,No,Yes,Caucasian
113.829,1388,9704,694,4,38,13,Female,No,Yes,Asian
11.187,889,5099,380,4,69,16,Female,No,No,African American
27.847,822,5619,418,2,78,15,Female,No,Yes,Caucasian
49.502,1084,6819,505,4,55,14, Male,No,Yes,Caucasian
24.889,357,3954,318,4,75,12, Male,No,Yes,Caucasian
58.781,1103,7402,538,2,81,12,Female,No,Yes,Asian
22.939,663,4923,355,1,47,18,Female,No,Yes,Asian
23.989,601,4523,338,4,31,15, Male,No,No,Caucasian
16.103,945,5390,418,4,45,10,Female,No,Yes,Caucasian
33.017,29,3180,224,2,28,16, Male,No,Yes,African American
30.622,532,3293,251,1,68,16, Male,Yes,No,Caucasian
20.936,145,3254,253,1,30,15,Female,No,No,Asian
110.968,391,6662,468,3,45,11,Female,No,Yes,Caucasian
15.354,0,2101,171,2,65,14, Male,No,No,Asian
27.369,162,3449,288,3,40,9,Female,No,Yes,Caucasian
53.48,99,4263,317,1,83,15, Male,No,No,Caucasian
23.672,503,4433,344,3,63,11, Male,No,No,Caucasian
19.225,0,1433,122,3,38,14,Female,No,No,Caucasian
43.54,0,2906,232,4,69,11, Male,No,No,Caucasian
152.298,1779,12066,828,4,41,12,Female,No,Yes,Asian
55.367,815,6340,448,1,33,15, Male,No,Yes,Caucasian
11.741,0,2271,182,4,59,12,Female,No,No,Asian
15.56,579,4307,352,4,57,8, Male,No,Yes,African American
59.53,1176,7518,543,3,52,9,Female,No,No,African American
20.191,1023,5767,431,4,42,16, Male,No,Yes,African American
48.498,812,6040,456,3,47,16, Male,No,Yes,Caucasian
30.733,0,2832,249,4,51,13, Male,No,No,Caucasian
16.479,937,5435,388,2,26,16, Male,No,No,African American
38.009,0,3075,245,3,45,15,Female,No,No,African American
14.084,0,855,120,5,46,17,Female,No,Yes,African American
14.312,1380,5382,367,1,59,17, Male,Yes,No,Asian
26.067,155,3388,266,4,74,17,Female,No,Yes,African American
36.295,375,2963,241,2,68,14,Female,Yes,No,African American
83.851,1311,8494,607,5,47,18, Male,No,No,Caucasian
21.153,298,3736,256,1,41,11, Male,No,No,Caucasian
17.976,431,2433,190,3,70,16,Female,Yes,No,Caucasian
68.713,1587,7582,531,2,56,16, Male,Yes,No,Caucasian
146.183,1050,9540,682,6,66,15, Male,No,No,Caucasian
15.846,745,4768,365,4,53,12,Female,No,No,Caucasian
12.031,210,3182,259,2,58,18,Female,No,Yes,Caucasian
16.819,0,1337,115,2,74,15, Male,No,Yes,Asian
39.11,0,3189,263,3,72,12, Male,No,No,Asian
107.986,227,6033,449,4,64,14, Male,No,Yes,Caucasian
13.561,297,3261,279,5,37,19, Male,No,Yes,Asian
34.537,47,3271,250,3,57,17,Female,No,Yes,Asian
28.575,0,2959,231,2,60,11,Female,No,No,African American
46.007,1046,6637,491,4,42,14, Male,No,Yes,Caucasian
69.251,768,6386,474,4,30,12,Female,No,Yes,Asian
16.482,271,3326,268,4,41,15, Male,No,No,Caucasian
40.442,510,4828,369,5,81,8,Female,No,No,African American
